city,country,lon,lat,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds,weather_main,weather_description,weather_icon,timezone
Jaipur,IN,75.8167,26.9167,35.43,34.67,35.43,35.43,1001,27,1001,954,10000,7.31,302,7.11,30,Clouds,scattered clouds,03d,19800
Lucknow,IN,80.9167,26.85,40.1,38.38,40.1,40.1,997,16,997,983,10000,6.08,299,7.12,0,Clear,clear sky,01d,19800
Macau,MO,113.5461,22.2006,27.6,31.93,27.6,27.6,1005,86,1005,1003,8900,5.35,226,8.99,100,Clouds,overcast clouds,04n,28800
Bishkek,KG,74.59,42.87,31.05,30.2,31.05,31.05,1005,34,1005,908,10000,4.41,243,4.28,44,Clouds,scattered clouds,03d,21600
Tashkent,UZ,69.2163,41.2646,37.34,34.74,37.34,37.34,1002,13,1002,955,10000,2.31,252,3.13,100,Clouds,overcast clouds,04d,18000
Ashgabat,TM,58.3833,37.95,36.01,35.06,36.01,36.01,1004,25,1004,960,10000,4.03,13,2.39,0,Clear,clear sky,01d,18000
Dushanbe,TJ,68.7797,38.5577,34.07,31.73,34.07,34.07,1004,16,1004,895,10000,1.52,92,1.9,44,Clouds,scattered clouds,03d,18000
Astana,KZ,71.446,51.1801,18.74,18.58,18.74,18.74,1005,73,1005,964,10000,6.75,193,12.25,100,Clouds,overcast clouds,04d,18000
Yerevan,AM,44.5136,40.1811,15.4,14.93,15.4,15.4,1008,74,1008,887,10000,7.6,63,9.35,47,Clouds,scattered clouds,03d,14400
Baku,AZ,49.892,40.3777,27.22,27.5,27.22,27.22,1006,48,1006,1005,10000,3.89,158,3.12,61,Clouds,broken clouds,04d,14400
Tbilisi,GE,44.8337,41.6941,26.07,26.07,26.07,26.07,1006,44,1006,939,10000,2.9,187,2.18,94,Clouds,overcast clouds,04d,14400
Minsk,BY,27.5667,53.9,15.99,15.47,15.99,15.99,1003,70,1003,977,10000,6.55,245,7.85,66,Clouds,broken clouds,04d,10800
Kyiv,UA,30.5167,50.4333,22.07,22.21,22.01,22.07,1006,72,1006,991,10000,0.45,130,0.89,59,Clouds,broken clouds,04d,10800
Chisinau,MD,28.8575,47.0056,27.74,27.0,27.74,27.74,1009,32,1009,994,10000,3.74,262,5.76,24,Clouds,few clouds,02d,10800
Vilnius,LT,25.2798,54.6892,15.08,14.65,15.08,15.23,1002,77,1002,984,10000,3.58,237,4.92,92,Rain,light rain,10d,10800
Riga,LV,24.0833,57.0,14.71,14.48,14.71,14.71,999,86,999,998,8879,4.75,168,6.83,99,Clouds,overcast clouds,04d,10800
Tallinn,EE,24.7535,59.437,15.76,15.06,15.76,15.76,998,64,998,996,10000,2.87,148,4.06,51,Clouds,broken clouds,04d,10800
Reykjavik,IS,-21.8954,64.1355,12.58,11.83,12.58,12.58,1025,74,1025,1012,6676,2.36,289,2.47,9,Clear,clear sky,01d,0
Nuuk,GL,-51.7216,64.1835,9.14,8.22,9.14,9.14,1017,61,1017,1015,10000,1.97,84,2.78,0,Clear,clear sky,01d,-3600
Thimphu,BT,89.6419,27.4661,15.57,15.4,15.57,15.57,1007,85,1007,700,10000,1.59,152,2.67,77,Clouds,broken clouds,04d,21600
Male,MV,73.5089,4.1748,28.19,32.58,28.19,28.19,1012,80,1012,1012,10000,6.12,288,7.27,100,Clouds,overcast clouds,04d,18000
